Date,Open,High,Low,Close,Adj Close,Volume
2013-09-25,555000,561000,549000,555000,551166.5625,276352
2013-09-26,550000,557000,536000,553000,549180.375,221180
2013-09-27,552000,558000,550000,555000,551166.5625,126677
2013-09-30,550000,560000,548000,557000,553152.75,159608
2013-10-01,555000,564000,552000,557000,553152.75,151553
2013-10-02,557000,559000,547000,554000,550173.5,184024
2013-10-04,547000,553000,534000,547000,543221.75,236514
2013-10-07,550000,561000,544000,548000,544214.9375,183850
2013-10-08,553000,572000,543000,572000,568049.1875,179651
2013-10-10,569000,572000,561000,568000,564076.75,431058
2013-10-11,577000,585000,572000,582000,577980.0625,325979
2013-10-14,580000,590000,577000,580000,575993.9375,191530
2013-10-15,595000,639000,595000,632000,627634.75,317347
2013-10-16,627000,630000,594000,595000,590890.3125,479503
2013-10-17,605000,616000,592000,610000,605786.625,306522
2013-10-18,620000,658000,619000,640000,635579.5,405828
2013-10-21,655000,687000,651000,665000,660406.8125,404139
2013-10-22,667000,668000,646000,655000,650475.875,222701
2013-10-23,650000,653000,611000,618000,613731.4375,351174
2013-10-24,618000,631000,608000,618000,613731.4375,232384
2013-10-25,625000,634000,601000,607000,602807.375,278875
2013-10-28,611000,638000,606000,638000,633593.25,215861
2013-10-29,635000,635000,618000,630000,625648.625,197043
2013-10-30,629000,630000,608000,630000,625648.625,195459
2013-10-31,620000,623000,590000,597000,592876.4375,452214
2013-11-01,590000,613000,587000,605000,600821.25,172568
2013-11-04,606000,610000,586000,586000,581952.5,152787
2013-11-05,587000,604000,587000,597000,592876.4375,163233
2013-11-06,600000,604000,578000,580000,575993.9375,185984
2013-11-07,580000,592000,566000,583000,578973.1875,305956
2013-11-08,593000,596000,560000,560000,556132.0625,260888
2013-11-11,572000,583000,562000,580000,575993.9375,186469
2013-11-12,587000,617000,579000,614000,609759.0625,198410
2013-11-13,612000,619000,590000,600000,595855.8125,147703
2013-11-14,613000,627000,607000,620000,615717.625,178801
2013-11-15,627000,627000,612000,627000,622669.25,141299
2013-11-18,630000,631000,617000,625000,620683.0625,88570
2013-11-19,609000,618000,607000,618000,613731.4375,186171
2013-11-20,647000,647000,622000,630000,625648.625,220581
2013-11-21,630000,636000,619000,625000,620683.0625,118269
2013-11-22,631000,639000,621000,636000,631607.0625,115473
2013-11-25,639000,648000,636000,636000,631607.0625,127479
2013-11-26,638000,651000,631000,635000,630614,177117
2013-11-27,638000,663000,627000,663000,658420.5625,173092
2013-11-28,677000,708000,675000,696000,691192.6875,314991
2013-11-29,700000,702000,682000,692000,687220.3125,118937
2013-12-02,692000,699000,683000,687000,682254.8125,91407
2013-12-03,686000,706000,683000,686000,681261.6875,155123
2013-12-04,684000,694000,667000,673000,668351.5625,132496
2013-12-05,681000,689000,672000,676000,671330.75,168092
2013-12-06,681000,719000,680000,710000,705095.875,185636
2013-12-09,712000,719000,705000,709000,704102.8125,155213
2013-12-10,713000,728000,703000,709000,704102.8125,165716
2013-12-11,720000,722000,709000,717000,712047.5625,97273
2013-12-12,718000,724000,705000,714000,709068.375,106611
2013-12-13,722000,728000,700000,703000,698144.3125,199074
2013-12-16,708000,715000,701000,708000,703109.75,129241
2013-12-17,714000,740000,712000,732000,726944.0625,173970
2013-12-18,732000,735000,706000,710000,705095.875,236337
2013-12-19,722000,736000,711000,730000,724957.8125,167957
2013-12-20,739000,742000,721000,736000,730916.375,139824
2013-12-23,742000,745000,734000,740000,734888.6875,127860
2013-12-24,750000,751000,734000,734000,728930.25,136578
2013-12-26,734000,735000,713000,714000,709068.375,168497
2013-12-27,723000,740000,721000,734000,729680.3125,105659
2013-12-30,717000,727000,716000,724000,719739.125,117875
2014-01-02,739000,742000,724000,725000,720733.3125,110009
2014-01-03,725000,725000,694000,699000,694886.25,220469
2014-01-06,705000,713000,691000,699000,694886.25,185826
2014-01-07,701000,708000,699000,700000,695880.375,144233
2014-01-08,714000,727000,686000,700000,695880.375,228388
2014-01-09,695000,698000,671000,671000,667051.125,213980
2014-01-10,662000,692000,662000,690000,685939.25,198161
2014-01-13,695000,701000,664000,670000,666056.9375,189724
2014-01-14,668000,686000,662000,667000,663074.625,196391
2014-01-15,674000,695000,667000,693000,688921.5625,157559
2014-01-16,704000,721000,701000,720000,715762.6875,161840
2014-01-17,720000,721000,708000,715000,710792.125,93805
2014-01-20,715000,728000,714000,717000,712780.375,73545
2014-01-21,716000,716000,698000,700000,695880.375,111129
2014-01-22,700000,705000,693000,704000,699856.875,118586
2014-01-23,704000,709000,695000,700000,695880.375,62770
2014-01-24,704000,704000,675000,679000,675004,337903
2014-01-27,651000,669000,643000,659000,655121.6875,284528
2014-01-28,660000,678000,658000,677000,673015.6875,111497
2014-01-29,680000,686000,672000,675000,671027.5,137304
2014-02-03,682000,692000,675000,676000,672021.625,167725
2014-02-04,660000,673000,658000,666000,662080.5,135734
2014-02-05,674000,691000,670000,689000,684945.125,152309
2014-02-06,720000,759000,717000,739000,734650.875,428072
2014-02-07,751000,755000,731000,751000,746580.1875,186951
2014-02-10,749000,753000,734000,734000,729680.3125,132548
2014-02-11,738000,747000,732000,737000,732662.5625,98646
2014-02-12,743000,745000,731000,741000,736639.1875,68665
2014-02-13,741000,748000,731000,748000,743597.9375,97347
2014-02-14,748000,756000,742000,750000,745586.125,104309
2014-02-17,758000,767000,747000,749000,744592,97916
2014-02-18,753000,755000,742000,752000,747574.4375,52034
2014-02-19,752000,757000,741000,750000,745586.125,74998
2014-02-20,718000,732000,687000,689000,684945.125,689602
2014-02-21,688000,719000,687000,705000,700851,482903
2014-02-24,713000,714000,675000,684000,679974.5625,261609
2014-02-25,692000,744000,685000,735000,730674.375,481506
2014-02-26,752000,760000,743000,760000,755527.25,353521
2014-02-27,760000,799000,748000,792000,787339,279006
2014-02-28,804000,820000,798000,817000,812191.8125,286484
2014-03-03,810000,827000,794000,813000,808215.375,266398
2014-03-04,808000,826000,807000,822000,817162.4375,94149
2014-03-05,833000,857000,830000,852000,846985.875,149905
2014-03-06,880000,880000,832000,836000,831080,205735
2014-03-07,840000,849000,824000,826000,821138.875,122436
2014-03-10,833000,857000,830000,853000,847979.9375,132318
2014-03-11,864000,877000,840000,850000,844997.625,110850
2014-03-12,846000,854000,812000,812000,807221.1875,187692
2014-03-13,814000,839000,812000,837000,832074.125,157489
2014-03-14,818000,832000,799000,810000,805233,183126
2014-03-17,803000,822000,792000,801000,796286,131136
2014-03-18,813000,827000,796000,819000,814180.0625,132649
2014-03-19,833000,850000,825000,833000,828097.625,130911
2014-03-20,838000,844000,812000,815000,810203.625,114445
2014-03-21,815000,819000,794000,804000,799268.3125,123767
2014-03-24,805000,835000,804000,834000,829091.75,95084
2014-03-25,811000,819000,787000,792000,787339,255123
2014-03-26,797000,801000,770000,797000,792309.5,163658
2014-03-27,767000,779000,759000,773000,768450.8125,309056
2014-03-28,768000,785000,765000,780000,775409.625,193305
2014-03-31,781000,784000,766000,774000,769444.8125,158323
2014-04-01,770000,784000,768000,780000,775409.625,158804
2014-04-02,793000,811000,789000,805000,800262.5,209329
